2022-05-24 22:02:43,353 [trainer.py] => config: exps/podnet.json
2022-05-24 22:02:43,354 [trainer.py] => prefix: reproduce
2022-05-24 22:02:43,354 [trainer.py] => dataset: cifar100
2022-05-24 22:02:43,354 [trainer.py] => memory_size: 2000
2022-05-24 22:02:43,354 [trainer.py] => memory_per_class: 20
2022-05-24 22:02:43,354 [trainer.py] => fixed_memory: False
2022-05-24 22:02:43,354 [trainer.py] => shuffle: True
2022-05-24 22:02:43,354 [trainer.py] => init_cls: 10
2022-05-24 22:02:43,354 [trainer.py] => increment: 10
2022-05-24 22:02:43,354 [trainer.py] => model_name: podnet
2022-05-24 22:02:43,354 [trainer.py] => convnet_type: cosine_resnet32
2022-05-24 22:02:43,354 [trainer.py] => device: [device(type='cuda', index=1)]
2022-05-24 22:02:43,354 [trainer.py] => seed: 1993
2022-05-24 22:02:45,457 [data_manager.py] => class order: [68, 56, 78, 8, 23, 84, 90, 65, 74, 76, 40, 89, 3, 92, 55, 9, 26, 80, 43, 38, 58, 70, 77, 1, 85, 19, 17, 50, 28, 53, 13, 81, 45, 82, 6, 59, 83, 16, 15, 44, 91, 41, 72, 60, 79, 52, 20, 10, 31, 54, 37, 95, 14, 71, 96, 98, 97, 2, 64, 66, 42, 22, 35, 86, 24, 34, 87, 21, 99, 0, 88, 27, 18, 94, 11, 12, 47, 25, 30, 46, 62, 69, 36, 61, 7, 63, 75, 5, 32, 4, 51, 48, 73, 93, 39, 67, 29, 49, 57, 33]
2022-05-24 22:02:45,894 [trainer.py] => All params: 466256
2022-05-24 22:02:45,895 [trainer.py] => Trainable params: 466256
2022-05-24 22:02:45,896 [podnet.py] => Learning on 0-10
2022-05-24 22:02:45,908 [podnet.py] => Adaptive factor: 0
2022-05-24 22:02:51,404 [podnet.py] => Task 0, Epoch 1/160 (LR 0.09999) => LSC_loss 2.30, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 14.30, Test_acc 23.70
2022-05-24 22:03:21,306 [podnet.py] => Task 0, Epoch 14/160 (LR 0.09812) => LSC_loss 1.04, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 68.56, Test_acc 56.30
2022-05-24 22:03:23,646 [podnet.py] => Task 0, Epoch 15/160 (LR 0.09785) => LSC_loss 1.08, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 66.28, Test_acc 67.20
2022-05-24 22:03:26,054 [podnet.py] => Task 0, Epoch 16/160 (LR 0.09755) => LSC_loss 0.92, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 71.46, Test_acc 70.90
2022-05-24 22:03:28,432 [podnet.py] => Task 0, Epoch 17/160 (LR 0.09724) => LSC_loss 0.85, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 73.16, Test_acc 71.70
2022-05-24 22:03:30,662 [podnet.py] => Task 0, Epoch 18/160 (LR 0.09691) => LSC_loss 0.80, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 75.72, Test_acc 68.30
2022-05-24 22:03:33,178 [podnet.py] => Task 0, Epoch 19/160 (LR 0.09656) => LSC_loss 0.84, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 74.36, Test_acc 61.20
2022-05-24 22:03:35,353 [podnet.py] => Task 0, Epoch 20/160 (LR 0.09619) => LSC_loss 0.78, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 76.26, Test_acc 69.40
2022-05-24 22:03:37,541 [podnet.py] => Task 0, Epoch 21/160 (LR 0.09581) => LSC_loss 0.91, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 72.18, Test_acc 63.20
2022-05-24 22:03:39,904 [podnet.py] => Task 0, Epoch 22/160 (LR 0.09541) => LSC_loss 0.79, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 74.90, Test_acc 77.50
2022-05-24 22:03:42,173 [podnet.py] => Task 0, Epoch 23/160 (LR 0.09499) => LSC_loss 0.66, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 79.96, Test_acc 73.30
2022-05-24 22:03:44,453 [podnet.py] => Task 0, Epoch 24/160 (LR 0.09455) => LSC_loss 0.67, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 80.20, Test_acc 75.50
2022-05-24 22:03:46,957 [podnet.py] => Task 0, Epoch 25/160 (LR 0.09410) => LSC_loss 0.63, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 80.94, Test_acc 69.00
2022-05-24 22:03:49,352 [podnet.py] => Task 0, Epoch 26/160 (LR 0.09362) => LSC_loss 0.70, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 78.62, Test_acc 76.50
2022-05-24 22:03:51,684 [podnet.py] => Task 0, Epoch 27/160 (LR 0.09314) => LSC_loss 0.57, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 82.76, Test_acc 75.50
2022-05-24 22:03:53,952 [podnet.py] => Task 0, Epoch 28/160 (LR 0.09263) => LSC_loss 0.57, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 82.66, Test_acc 76.80
2022-05-24 22:03:56,117 [podnet.py] => Task 0, Epoch 29/160 (LR 0.09211) => LSC_loss 0.64, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 80.60, Test_acc 75.50
2022-05-24 22:03:58,194 [podnet.py] => Task 0, Epoch 30/160 (LR 0.09157) => LSC_loss 0.72, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 77.90, Test_acc 75.80
2022-05-24 22:04:00,284 [podnet.py] => Task 0, Epoch 31/160 (LR 0.09102) => LSC_loss 0.62, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 80.44, Test_acc 79.50
2022-05-24 22:04:02,377 [podnet.py] => Task 0, Epoch 32/160 (LR 0.09045) => LSC_loss 0.55, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 84.54, Test_acc 72.90
2022-05-24 22:04:04,409 [podnet.py] => Task 0, Epoch 33/160 (LR 0.08987) => LSC_loss 0.53, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 83.64, Test_acc 75.40
2022-05-24 22:04:06,484 [podnet.py] => Task 0, Epoch 34/160 (LR 0.08927) => LSC_loss 0.54, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 83.62, Test_acc 76.90
2022-05-24 22:04:08,608 [podnet.py] => Task 0, Epoch 35/160 (LR 0.08865) => LSC_loss 0.49, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 85.36, Test_acc 78.00
2022-05-24 22:04:10,748 [podnet.py] => Task 0, Epoch 36/160 (LR 0.08802) => LSC_loss 0.43, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 87.44, Test_acc 73.50
2022-05-24 22:04:12,924 [podnet.py] => Task 0, Epoch 37/160 (LR 0.08738) => LSC_loss 0.45, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 86.46, Test_acc 74.10
2022-05-24 22:04:15,072 [podnet.py] => Task 0, Epoch 38/160 (LR 0.08672) => LSC_loss 0.45, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 87.18, Test_acc 79.70
2022-05-24 22:04:17,208 [podnet.py] => Task 0, Epoch 39/160 (LR 0.08604) => LSC_loss 0.48, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 86.34, Test_acc 76.30
2022-05-24 22:04:19,286 [podnet.py] => Task 0, Epoch 40/160 (LR 0.08536) => LSC_loss 0.68, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 80.50, Test_acc 69.70
2022-05-24 22:04:21,438 [podnet.py] => Task 0, Epoch 41/160 (LR 0.08465) => LSC_loss 0.60, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 82.00, Test_acc 77.70
2022-05-24 22:04:23,584 [podnet.py] => Task 0, Epoch 42/160 (LR 0.08394) => LSC_loss 0.47, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 85.80, Test_acc 78.00
2022-05-24 22:04:25,766 [podnet.py] => Task 0, Epoch 43/160 (LR 0.08321) => LSC_loss 0.45, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 86.44, Test_acc 80.50
2022-05-24 22:04:28,082 [podnet.py] => Task 0, Epoch 44/160 (LR 0.08247) => LSC_loss 0.42, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 87.64, Test_acc 84.20
2022-05-24 22:04:31,338 [podnet.py] => Task 0, Epoch 45/160 (LR 0.08172) => LSC_loss 0.44, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 86.46, Test_acc 79.50
2022-05-24 22:04:34,283 [podnet.py] => Task 0, Epoch 46/160 (LR 0.08095) => LSC_loss 0.38, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.10, Test_acc 78.90
2022-05-24 22:04:37,129 [podnet.py] => Task 0, Epoch 47/160 (LR 0.08018) => LSC_loss 0.43, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 87.72, Test_acc 83.50
2022-05-24 22:04:40,131 [podnet.py] => Task 0, Epoch 48/160 (LR 0.07939) => LSC_loss 0.50, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 85.70, Test_acc 79.70
2022-05-24 22:04:43,083 [podnet.py] => Task 0, Epoch 49/160 (LR 0.07859) => LSC_loss 0.52, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 84.54, Test_acc 78.30
2022-05-24 22:04:46,303 [podnet.py] => Task 0, Epoch 50/160 (LR 0.07778) => LSC_loss 0.41, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 88.04, Test_acc 79.40
2022-05-24 22:04:49,442 [podnet.py] => Task 0, Epoch 51/160 (LR 0.07696) => LSC_loss 0.44, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 87.54, Test_acc 82.10
2022-05-24 22:04:52,659 [podnet.py] => Task 0, Epoch 52/160 (LR 0.07612) => LSC_loss 0.36, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 89.24, Test_acc 82.70
2022-05-24 22:04:55,873 [podnet.py] => Task 0, Epoch 53/160 (LR 0.07528) => LSC_loss 0.32, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.14, Test_acc 81.80
2022-05-24 22:04:59,140 [podnet.py] => Task 0, Epoch 54/160 (LR 0.07443) => LSC_loss 0.45, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 86.76, Test_acc 81.90
2022-05-24 22:05:02,224 [podnet.py] => Task 0, Epoch 55/160 (LR 0.07357) => LSC_loss 0.44, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 87.26, Test_acc 80.90
2022-05-24 22:05:05,155 [podnet.py] => Task 0, Epoch 56/160 (LR 0.07270) => LSC_loss 0.45, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 86.66, Test_acc 81.60
2022-05-24 22:05:08,058 [podnet.py] => Task 0, Epoch 57/160 (LR 0.07182) => LSC_loss 0.32, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.56, Test_acc 84.50
2022-05-24 22:05:11,271 [podnet.py] => Task 0, Epoch 58/160 (LR 0.07093) => LSC_loss 0.31, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 91.06, Test_acc 85.50
2022-05-24 22:05:14,575 [podnet.py] => Task 0, Epoch 59/160 (LR 0.07004) => LSC_loss 0.34, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.00, Test_acc 81.40
2022-05-24 22:05:17,588 [podnet.py] => Task 0, Epoch 60/160 (LR 0.06913) => LSC_loss 0.32, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.68, Test_acc 82.20
2022-05-24 22:05:20,990 [podnet.py] => Task 0, Epoch 61/160 (LR 0.06822) => LSC_loss 0.39, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 89.22, Test_acc 81.30
2022-05-24 22:05:24,322 [podnet.py] => Task 0, Epoch 62/160 (LR 0.06731) => LSC_loss 0.36, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 89.46, Test_acc 84.70
2022-05-24 22:05:27,605 [podnet.py] => Task 0, Epoch 63/160 (LR 0.06638) => LSC_loss 0.35, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.34, Test_acc 85.40
2022-05-24 22:05:30,748 [podnet.py] => Task 0, Epoch 64/160 (LR 0.06545) => LSC_loss 0.26, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.48, Test_acc 82.60
2022-05-24 22:05:33,674 [podnet.py] => Task 0, Epoch 65/160 (LR 0.06451) => LSC_loss 0.31, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.50, Test_acc 83.10
2022-05-24 22:05:36,643 [podnet.py] => Task 0, Epoch 66/160 (LR 0.06357) => LSC_loss 0.35, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.36, Test_acc 85.50
2022-05-24 22:05:39,735 [podnet.py] => Task 0, Epoch 67/160 (LR 0.06262) => LSC_loss 0.34, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.24, Test_acc 81.40
2022-05-24 22:05:43,079 [podnet.py] => Task 0, Epoch 68/160 (LR 0.06167) => LSC_loss 0.28, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.20, Test_acc 83.50
2022-05-24 22:05:46,110 [podnet.py] => Task 0, Epoch 69/160 (LR 0.06072) => LSC_loss 0.27, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.04, Test_acc 87.30
2022-05-24 22:05:49,298 [podnet.py] => Task 0, Epoch 70/160 (LR 0.05975) => LSC_loss 0.25, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.68, Test_acc 82.90
2022-05-24 22:05:52,599 [podnet.py] => Task 0, Epoch 71/160 (LR 0.05879) => LSC_loss 0.30, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 90.94, Test_acc 84.50
2022-05-24 22:05:55,928 [podnet.py] => Task 0, Epoch 72/160 (LR 0.05782) => LSC_loss 0.22, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 93.14, Test_acc 86.50
2022-05-24 22:05:59,135 [podnet.py] => Task 0, Epoch 73/160 (LR 0.05685) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.76, Test_acc 86.90
2022-05-24 22:06:02,105 [podnet.py] => Task 0, Epoch 74/160 (LR 0.05588) => LSC_loss 0.28, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 91.84, Test_acc 85.80
2022-05-24 22:06:05,114 [podnet.py] => Task 0, Epoch 75/160 (LR 0.05490) => LSC_loss 0.26, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.56, Test_acc 86.80
2022-05-24 22:06:08,064 [podnet.py] => Task 0, Epoch 76/160 (LR 0.05392) => LSC_loss 0.21, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.52, Test_acc 86.00
2022-05-24 22:06:11,348 [podnet.py] => Task 0, Epoch 77/160 (LR 0.05294) => LSC_loss 0.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.96, Test_acc 87.80
2022-05-24 22:06:14,528 [podnet.py] => Task 0, Epoch 78/160 (LR 0.05196) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.08, Test_acc 85.40
2022-05-24 22:06:17,454 [podnet.py] => Task 0, Epoch 79/160 (LR 0.05098) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.28, Test_acc 84.70
2022-05-24 22:06:20,596 [podnet.py] => Task 0, Epoch 80/160 (LR 0.05000) => LSC_loss 0.26, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.24, Test_acc 85.70
2022-05-24 22:06:23,949 [podnet.py] => Task 0, Epoch 81/160 (LR 0.04902) => LSC_loss 0.28, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 91.58, Test_acc 87.00
2022-05-24 22:06:27,317 [podnet.py] => Task 0, Epoch 82/160 (LR 0.04804) => LSC_loss 0.23, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 93.06, Test_acc 86.20
2022-05-24 22:06:30,574 [podnet.py] => Task 0, Epoch 83/160 (LR 0.04706) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.24, Test_acc 86.50
2022-05-24 22:06:33,655 [podnet.py] => Task 0, Epoch 84/160 (LR 0.04608) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.64, Test_acc 85.40
2022-05-24 22:06:36,689 [podnet.py] => Task 0, Epoch 85/160 (LR 0.04510) => LSC_loss 0.27, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.04, Test_acc 84.50
2022-05-24 22:06:40,162 [podnet.py] => Task 0, Epoch 86/160 (LR 0.04412) => LSC_loss 0.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.08, Test_acc 86.70
2022-05-24 22:06:43,250 [podnet.py] => Task 0, Epoch 87/160 (LR 0.04315) => LSC_loss 0.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.92, Test_acc 86.60
2022-05-24 22:06:46,494 [podnet.py] => Task 0, Epoch 88/160 (LR 0.04218) => LSC_loss 0.14, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.50, Test_acc 86.60
2022-05-24 22:06:49,827 [podnet.py] => Task 0, Epoch 89/160 (LR 0.04121) => LSC_loss 0.30, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 91.42, Test_acc 86.20
2022-05-24 22:06:53,342 [podnet.py] => Task 0, Epoch 90/160 (LR 0.04025) => LSC_loss 0.21, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 93.80, Test_acc 88.20
2022-05-24 22:06:56,521 [podnet.py] => Task 0, Epoch 91/160 (LR 0.03928) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.96, Test_acc 85.70
2022-05-24 22:06:59,638 [podnet.py] => Task 0, Epoch 92/160 (LR 0.03833) => LSC_loss 0.24, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 92.52, Test_acc 87.00
2022-05-24 22:07:02,642 [podnet.py] => Task 0, Epoch 93/160 (LR 0.03738) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.30, Test_acc 86.40
2022-05-24 22:07:05,591 [podnet.py] => Task 0, Epoch 94/160 (LR 0.03643) => LSC_loss 0.31, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 91.30, Test_acc 85.50
2022-05-24 22:07:09,046 [podnet.py] => Task 0, Epoch 95/160 (LR 0.03549) => LSC_loss 0.22, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 93.60, Test_acc 83.60
2022-05-24 22:07:12,235 [podnet.py] => Task 0, Epoch 96/160 (LR 0.03455) => LSC_loss 0.19, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.68, Test_acc 86.80
2022-05-24 22:07:15,638 [podnet.py] => Task 0, Epoch 97/160 (LR 0.03362) => LSC_loss 0.22, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 93.86, Test_acc 85.50
2022-05-24 22:07:19,011 [podnet.py] => Task 0, Epoch 98/160 (LR 0.03269) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 94.96, Test_acc 87.30
2022-05-24 22:07:22,392 [podnet.py] => Task 0, Epoch 99/160 (LR 0.03178) => LSC_loss 0.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.36, Test_acc 88.10
2022-05-24 22:07:25,444 [podnet.py] => Task 0, Epoch 100/160 (LR 0.03087) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.26, Test_acc 86.30
2022-05-24 22:07:28,426 [podnet.py] => Task 0, Epoch 101/160 (LR 0.02996) => LSC_loss 0.11, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 97.38, Test_acc 87.80
2022-05-24 22:07:31,489 [podnet.py] => Task 0, Epoch 102/160 (LR 0.02907) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.56, Test_acc 89.80
2022-05-24 22:07:34,365 [podnet.py] => Task 0, Epoch 103/160 (LR 0.02818) => LSC_loss 0.14, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 97.08, Test_acc 88.50
2022-05-24 22:07:37,827 [podnet.py] => Task 0, Epoch 104/160 (LR 0.02730) => LSC_loss 0.13, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.34, Test_acc 88.20
2022-05-24 22:07:41,037 [podnet.py] => Task 0, Epoch 105/160 (LR 0.02643) => LSC_loss 0.08, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 97.74, Test_acc 89.40
2022-05-24 22:07:44,400 [podnet.py] => Task 0, Epoch 106/160 (LR 0.02557) => LSC_loss 0.07, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 98.28, Test_acc 88.60
2022-05-24 22:07:47,761 [podnet.py] => Task 0, Epoch 107/160 (LR 0.02472) => LSC_loss 0.08, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 98.04, Test_acc 89.30
2022-05-24 22:07:51,129 [podnet.py] => Task 0, Epoch 108/160 (LR 0.02388) => LSC_loss 0.12, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.60, Test_acc 87.30
2022-05-24 22:07:54,269 [podnet.py] => Task 0, Epoch 109/160 (LR 0.02304) => LSC_loss 0.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.68, Test_acc 87.80
2022-05-24 22:07:57,290 [podnet.py] => Task 0, Epoch 110/160 (LR 0.02222) => LSC_loss 0.11, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.52, Test_acc 88.70
2022-05-24 22:08:00,431 [podnet.py] => Task 0, Epoch 111/160 (LR 0.02141) => LSC_loss 0.08, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 97.76, Test_acc 88.50
2022-05-24 22:08:03,543 [podnet.py] => Task 0, Epoch 112/160 (LR 0.02061) => LSC_loss 0.15, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.38, Test_acc 87.60
2022-05-24 22:08:06,969 [podnet.py] => Task 0, Epoch 113/160 (LR 0.01982) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.00, Test_acc 86.60
2022-05-24 22:08:10,423 [podnet.py] => Task 0, Epoch 114/160 (LR 0.01905) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.34, Test_acc 88.10
2022-05-24 22:08:13,692 [podnet.py] => Task 0, Epoch 115/160 (LR 0.01828) => LSC_loss 0.11, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 97.24, Test_acc 89.20
2022-05-24 22:08:17,041 [podnet.py] => Task 0, Epoch 116/160 (LR 0.01753) => LSC_loss 0.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 95.50, Test_acc 88.10
2022-05-24 22:08:20,415 [podnet.py] => Task 0, Epoch 117/160 (LR 0.01679) => LSC_loss 0.13, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.36, Test_acc 89.20
2022-05-24 22:08:23,538 [podnet.py] => Task 0, Epoch 118/160 (LR 0.01606) => LSC_loss 0.11, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 96.96, Test_acc 89.00
2022-05-24 22:08:26,499 [podnet.py] => Task 0, Epoch 119/160 (LR 0.01535) => LSC_loss 0.06, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 99.06, Test_acc 89.20
2022-05-24 22:08:29,593 [podnet.py] => Task 0, Epoch 120/160 (LR 0.01464) => LSC_loss 0.07, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 98.22, Test_acc 89.70
